respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.11254175490587358,0.2656014674975366
26708,0.042399564083537365,0.06019939867597689
26709,0.3861354919599585,0.760716088874602
26710,0.24498816766609954,0.6699093022363625
26711,0.1562656473158122,0.3494032514033606
26712,0.45789700506243847,0.7604597721675622
26713,0.2073928276545906,0.8265303424577993
26714,0.12613962286781155,0.294708896949758
26715,0.076018994912856,0.18613478812099882
26716,0.1693720180176091,0.7318934487351065
26717,0.03796634892329994,0.11317228356155166
26718,0.14877007495415706,0.22751487737542447
26719,0.11802990759302694,0.7439775581417233
26720,0.04869344235904302,0.1781163535462616
26721,0.3439125263543649,0.46740022305944673
26722,0.10117658442213218,0.3117129683882147
26723,0.5050964823520059,0.8350663904260727
26724,0.060508606953888766,0.5451423154072372
26725,0.05524344552189542,0.1474319726045614
26726,0.16622627771172643,0.15491317395455245
26727,0.3301333812966994,0.7249739053194538
26728,0.11591403660252624,0.4051939370759197
26729,0.07829216809207688,0.2467775600413765
26730,0.08345914723643948,0.1737985693567999
26731,0.02632559760994625,0.23262124764626074
26732,0.07407504628251192,0.1765607668807445
26733,0.8014201847768648,0.7396617606554002
26734,0.6131840959636452,0.4537152008804311
26735,0.08002110810354775,0.15652048349308328
26736,0.08960448559040926,0.2451439394333196
26737,0.08888955659342715,0.3379485994429765
26738,0.5678361389168419,0.7837620791526645
26739,0.06032887958466573,0.1201978094287843
26740,0.27187215247582386,0.19542537985319178
26741,0.32017487816628765,0.5857221889134243
26742,0.15373889803839796,0.542410111864128
26743,0.0800349574918944,0.44324539312157685
26744,0.09884449494366454,0.357237284184247
26745,0.25825577919972303,0.44954603423602996
26746,0.06784221268580791,0.31536303172235014
26747,0.09220687144360025,0.37631066660067614
26748,0.20680433838731482,0.17085591268814956
26749,0.22763905826300423,0.6515376738138636
26750,0.5014257826294498,0.8698123739620518
26751,0.26293373283914395,0.7016830078611086
26752,0.049277001685470584,0.15508779918555207
26753,0.254162831456852,0.7014919649129003
26754,0.32318237591373306,0.5899178742973412
26755,0.18704616153475084,0.328579881992978
26756,0.01916354588675139,0.05925388675007631
26757,0.26184189624509324,0.5136725355726307
26758,0.4072103318524155,0.7682591971883315
26759,0.025229233449983006,0.16503907082162975
26760,0.034481241554375486,0.15116882387467157
26761,0.14946607690615887,0.6587569955001548
26762,0.05336014876392802,0.411549675542669
26763,0.7126663384694799,0.8600758302833829
26764,0.8245224496131074,0.6671459328024102
26765,0.34299903902021495,0.6246611912980119
26766,0.1344197491580067,0.2512299523924192
26767,0.7388321884144621,0.677174964553944
26768,0.19967245962778976,0.15120582757658313
26769,0.13858696753142732,0.24464170493568646
26770,0.24818957625410265,0.34374567160239156
26771,0.09080262698724871,0.43073530991799464
26772,0.03741033656251711,0.1654910657345688
26773,0.09682283901464095,0.4759939626159304
26774,0.04786575929455535,0.44514800817753414
26775,0.05116465962324909,0.24249605967269394
26776,0.30821872297805164,0.20511487107634607
26777,0.2675714991848761,0.8325950367516852
26778,0.1097201606224977,0.040754791815264785
26779,0.126627423098318,0.17217387509672205
26780,0.48742102040629864,0.8640919397083731
26781,0.06617477427044799,0.4571822025789613
26782,0.07034522074449955,0.25860160211952615
26783,0.06416914149910381,0.28529982885069893
26784,0.29327866826971044,0.7382803957556834
26785,0.13638296464462843,0.5420668649891633
26786,0.13944953892975862,0.41438473597886377
26787,0.08539514582240089,0.5892222775512604
26788,0.13893067626326353,0.6382948177382572
26789,0.05090472253456002,0.35985745527850205
26790,0.050234684179566134,0.27751652391233844
26791,0.045902116518341494,0.1084411132863773
26792,0.16840400699727487,0.3883359376265706
26793,0.17859128687980866,0.7989218828550667
26794,0.8572980950421477,0.8431898991688576
26795,0.06576917617011574,0.4209920551549174
26796,0.0325890077156689,0.1599807152547497
26797,0.16952136038271895,0.3727605632351763
26798,0.19499766334510976,0.5169118561736844
26799,0.3271313375031216,0.4082692204906378
